Park,response,predictor,estimate,std.error,statistic,p.value
Erindale,Ac,distance,-0.186,0.174,-1.072,0.284
Erindale,Ac,distance_set0,-0.164,0.158,-1.039,0.299
Erindale,Ac,percent_asphalt,-0.006,0.005,-1.286,0.198
Erindale,Ac,distance,-0.186,0.174,-1.072,0.284
Erindale,Ac,distance_set0,-0.164,0.158,-1.039,0.299
Erindale,Ac,percent_asphalt,-0.006,0.005,-1.286,0.198
Erindale,Ac,distance,-0.186,0.174,-1.072,0.284
Erindale,Ac,distance_set0,-0.164,0.158,-1.039,0.299
Erindale,Ac,percent_asphalt,-0.006,0.005,-1.286,0.198
Erindale,HCN,distance,-0.108,0.168,-0.639,0.523
Erindale,HCN,distance_set0,-0.107,0.152,-0.701,0.484
Erindale,HCN,percent_asphalt,-0.001,0.004,-0.229,0.819
Erindale,Li,distance,-0.01,0.162,-0.059,0.953
Erindale,Li,distance_set0,-0.045,0.147,-0.307,0.759
Erindale,Li,percent_asphalt,-0.002,0.004,-0.397,0.692
Erindale,HCN,distance,-0.108,0.168,-0.639,0.523
Erindale,HCN,distance_set0,-0.107,0.152,-0.701,0.484
Erindale,HCN,percent_asphalt,-0.001,0.004,-0.229,0.819
Erindale,Li,distance,-0.01,0.162,-0.059,0.953
Erindale,Li,distance_set0,-0.045,0.147,-0.307,0.759
Erindale,Li,percent_asphalt,-0.002,0.004,-0.397,0.692
Erindale,HCN,distance,-0.108,0.168,-0.639,0.523
Erindale,HCN,distance_set0,-0.107,0.152,-0.701,0.484
Erindale,HCN,percent_asphalt,-0.001,0.004,-0.229,0.819
Erindale,Li,distance,-0.01,0.162,-0.059,0.953
Erindale,Li,distance_set0,-0.045,0.147,-0.307,0.759
Erindale,Li,percent_asphalt,-0.002,0.004,-0.397,0.692
High Park,Ac,distance,1.035,0.239,4.328,0
High Park,Ac,distance_set0,0.921,0.186,4.965,0
High Park,Ac,percent_asphalt,0.025,0.005,4.687,0
High Park,Ac,distance,1.035,0.239,4.328,0
High Park,Ac,distance_set0,0.921,0.186,4.965,0
High Park,Ac,percent_asphalt,0.025,0.005,4.687,0
High Park,Ac,distance,1.035,0.239,4.328,0
High Park,Ac,distance_set0,0.921,0.186,4.965,0
High Park,Ac,percent_asphalt,0.025,0.005,4.687,0
High Park,HCN,distance,0.429,0.251,1.705,0.088
High Park,HCN,distance_set0,0.423,0.196,2.157,0.031
High Park,HCN,percent_asphalt,0.015,0.006,2.382,0.017
High Park,Li,distance,-0.001,0.219,-0.004,0.997
High Park,Li,distance_set0,0.059,0.168,0.349,0.727
High Park,Li,percent_asphalt,0.006,0.005,1.232,0.218
High Park,HCN,distance,0.429,0.251,1.705,0.088
High Park,HCN,distance_set0,0.423,0.196,2.157,0.031
High Park,HCN,percent_asphalt,0.015,0.006,2.382,0.017
High Park,Li,distance,-0.001,0.219,-0.004,0.997
High Park,Li,distance_set0,0.059,0.168,0.349,0.727
High Park,Li,percent_asphalt,0.006,0.005,1.232,0.218
