Date,Time,Temp,Year,Month,Day,Week,Park,Lat,Long,Percent_asphalt,Location,Button,Round
27/05/2019,12:48:00,33,2019,May,27,22,Erindale,43.53944,79.66028,33.373,West,Erindale2W,First
27/05/2019,13:18:00,30,2019,May,27,22,Erindale,43.53944,79.66028,33.373,West,Erindale2W,First
27/05/2019,13:48:00,33.5,2019,May,27,22,Erindale,43.53944,79.66028,33.373,West,Erindale2W,First
27/05/2019,14:18:00,26,2019,May,27,22,Erindale,43.53944,79.66028,33.373,West,Erindale2W,First
27/05/2019,14:48:00,29.5,2019,May,27,22,Erindale,43.53944,79.66028,33.373,West,Erindale2W,First
27/05/2019,15:18:00,25.5,2019,May,27,22,Erindale,43.53944,79.66028,33.373,West,Erindale2W,First
27/05/2019,15:48:00,23.5,2019,May,27,22,Erindale,43.53944,79.66028,33.373,West,Erindale2W,First
27/05/2019,16:18:00,22.5,2019,May,27,22,Erindale,43.53944,79.66028,33.373,West,Erindale2W,First
27/05/2019,16:48:00,24,2019,May,27,22,Erindale,43.53944,79.66028,33.373,West,Erindale2W,First
27/05/2019,17:18:00,22,2019,May,27,22,Erindale,43.53944,79.66028,33.373,West,Erindale2W,First
27/05/2019,17:48:00,22,2019,May,27,22,Erindale,43.53944,79.66028,33.373,West,Erindale2W,First
27/05/2019,18:18:00,21,2019,May,27,22,Erindale,43.53944,79.66028,33.373,West,Erindale2W,First
27/05/2019,18:48:00,19.5,2019,May,27,22,Erindale,43.53944,79.66028,33.373,West,Erindale2W,First
27/05/2019,19:18:00,19,2019,May,27,22,Erindale,43.53944,79.66028,33.373,West,Erindale2W,First
27/05/2019,19:48:00,18.5,2019,May,27,22,Erindale,43.53944,79.66028,33.373,West,Erindale2W,First
27/05/2019,20:18:00,18,2019,May,27,22,Erindale,43.53944,79.66028,33.373,West,Erindale2W,First
27/05/2019,20:48:00,17.5,2019,May,27,22,Erindale,43.53944,79.66028,33.373,West,Erindale2W,First
27/05/2019,21:18:00,17.5,2019,May,27,22,Erindale,43.53944,79.66028,33.373,West,Erindale2W,First
