Date,Time,Temp,Year,Month,Day,Week,Park,Lat,Long,Percent_asphalt,Location,Button,Round
03/07/2019,14:38:01,25027,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,14:48:01,24027,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,14:58:01,24027,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,15:08:01,23527,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,15:18:01,23527,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,15:28:01,23527,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,15:38:01,23527,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,15:48:01,23527,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,15:58:01,23527,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,16:08:01,23527,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,16:18:01,23527,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,16:28:01,23027,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,16:38:01,23527,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,16:48:01,24027,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,16:58:01,25527,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,17:08:01,24027,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,17:18:01,23527,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,17:28:01,23527,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,17:38:01,23527,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,17:48:01,23027,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,17:58:01,24027,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,18:08:01,23027,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,18:18:01,23027,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,18:28:01,23027,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,18:38:01,23027,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,18:48:01,23027,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,18:58:01,23027,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,19:08:01,23027,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,19:18:01,23027,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,19:28:01,22527,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,19:38:01,22527,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,19:48:01,22527,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,19:58:01,22527,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,20:08:01,22027,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,20:18:01,22027,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,20:28:01,22027,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,20:38:01,22027,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,20:48:01,21527,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,20:58:01,21527,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,21:08:01,21026,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,21:18:01,21026,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,21:28:01,21026,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,21:38:01,21026,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,21:48:01,20526,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,21:58:01,20526,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,22:08:01,20526,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,22:18:01,20526,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,22:28:01,20526,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,22:38:01,20026,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,22:48:01,20026,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,22:58:01,20026,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,23:08:01,20026,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,23:18:01,19525,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,23:28:01,19525,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,23:38:01,19525,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
03/07/2019,23:48:01,19525,2019,July,03,27,HighPark,43.64297,79.46519,9.806,Park,HighPark5P,First
