Date,Time,Temp,Year,Month,Day,Week,Park,Lat,Long,Percent_asphalt,Location,Button,Round
05/07/2019,09:35:01,27.152,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,09:45:01,24.652,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,09:55:01,24.652,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,10:05:01,24.652,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,10:15:01,24.652,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,10:25:01,24.652,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,10:35:01,25.152,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,10:45:01,26.152,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,10:55:01,26.152,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,11:05:01,25.652,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,11:15:01,25.652,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,11:25:01,25.652,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,11:35:01,25.652,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,11:45:01,25.652,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,11:55:01,26.152,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,12:05:01,26.152,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,12:15:01,26.152,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,12:25:01,26.152,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,12:35:01,26.152,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,12:45:01,25.652,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,12:55:01,25.652,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,13:05:01,26.152,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,13:15:01,26.152,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,13:25:01,26.152,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,13:35:01,25.652,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,13:45:01,25.152,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,13:55:01,24.652,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
05/07/2019,14:05:01,25.652,2019,July,05,27,Humber,43.64949,79.49155,0,Park,Humber1P,First
