Date,Time,Temp,Year,Month,Day,Week,Park,Lat,Long,Percent_asphalt,Location,Button,Round
30/11/2019,13:57:01,1.78,2019,November,30,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
30/11/2019,14:37:01,-0.482,2019,November,30,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
30/11/2019,15:17:01,-0.042,2019,November,30,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
30/11/2019,15:57:01,-0.734,2019,November,30,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
30/11/2019,16:37:01,-1.613,2019,November,30,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
30/11/2019,17:17:01,-2.494,2019,November,30,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
30/11/2019,17:57:01,-3.059,2019,November,30,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
30/11/2019,18:37:01,-3.059,2019,November,30,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
30/11/2019,19:17:01,-3.248,2019,November,30,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
30/11/2019,19:57:01,-3.122,2019,November,30,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
30/11/2019,20:37:01,-3.248,2019,November,30,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
30/11/2019,21:17:01,-3.059,2019,November,30,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
30/11/2019,21:57:01,-2.808,2019,November,30,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
30/11/2019,22:37:01,-2.745,2019,November,30,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
30/11/2019,23:17:01,-2.556,2019,November,30,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
30/11/2019,23:57:01,-2.871,2019,November,30,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,00:37:01,-2.934,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,01:17:01,-1.928,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,01:57:01,-1.425,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,02:37:01,-1.425,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,03:17:01,-1.488,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,03:57:01,-1.676,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,04:37:01,-1.362,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,05:17:01,-1.488,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,05:57:01,-1.362,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,06:37:01,-1.048,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,07:17:01,-1.048,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,07:57:01,-1.362,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,08:37:01,-1.299,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,09:17:01,-0.294,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,09:57:01,-1.048,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,10:37:01,-1.111,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,11:17:01,-0.545,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,11:57:01,0.083,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,12:37:01,0.021,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,13:17:01,-0.042,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,13:57:01,0.083,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,14:37:01,0.083,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,15:17:01,0.021,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,15:57:01,0.021,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,16:37:01,0.083,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,17:17:01,0.083,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,17:57:01,0.083,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,18:37:01,0.083,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,19:17:01,0.021,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,19:57:01,-0.105,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,20:37:01,-0.168,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,21:17:01,-0.168,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,21:57:01,-0.294,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,22:37:01,-0.419,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,23:17:01,-0.482,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
01/12/2019,23:57:01,-0.482,2019,December,01,48,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,00:37:01,-0.419,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,01:17:01,-0.482,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,01:57:01,-0.545,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,02:37:01,-0.545,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,03:17:01,-0.419,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,03:57:01,-0.294,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,04:37:01,-0.231,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,05:17:01,-0.231,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,05:57:01,-0.168,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,06:37:01,-0.168,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,07:17:01,-0.105,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,07:57:01,-0.105,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,08:37:01,-0.105,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,09:17:01,-0.042,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,09:57:01,-0.042,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,10:37:01,0.021,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,11:17:01,0.083,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,11:57:01,0.146,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,12:37:01,0.209,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,13:17:01,0.209,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,13:57:01,0.209,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,14:37:01,0.209,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,15:17:01,0.209,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,15:57:01,0.209,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,16:37:01,0.209,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,17:17:01,0.209,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,17:57:01,0.209,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,18:37:01,0.272,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,19:17:01,0.272,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,19:57:01,0.272,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,20:37:01,0.272,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,21:17:01,0.272,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
02/12/2019,21:57:01,0.272,2019,December,02,49,Humber,43.64949,79.49155,0,Park,Humber1P,Third
