Date,Time,Temp,Week,Park,Lat,Long,Percent_asphalt,Location,Button,Round
28/11/2019,10:18:01,12.554,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
28/11/2019,10:58:01,2.272,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
28/11/2019,11:38:01,2.147,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
28/11/2019,12:18:01,2.021,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
28/11/2019,12:58:01,1.205,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
28/11/2019,13:38:01,1.143,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
28/11/2019,14:18:01,0.892,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
28/11/2019,14:58:01,0.578,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
28/11/2019,15:38:01,0.954,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
28/11/2019,16:18:01,0.013,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
28/11/2019,16:58:01,-0.301,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
28/11/2019,17:38:01,-0.552,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
28/11/2019,18:18:01,0.515,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
28/11/2019,18:58:01,0.829,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
28/11/2019,19:38:01,-0.427,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
28/11/2019,20:18:01,-0.489,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
28/11/2019,20:58:01,-0.175,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
28/11/2019,21:38:01,-0.05,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
28/11/2019,22:18:01,-1.18,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
28/11/2019,22:58:01,-1.368,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
28/11/2019,23:38:01,-0.615,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,00:18:01,-1.682,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,00:58:01,-1.431,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,01:38:01,-1.745,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,02:18:01,-1.682,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,02:58:01,-1.808,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,03:38:01,-1.682,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,04:18:01,-2.059,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,04:58:01,-1.933,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,05:38:01,-1.619,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,06:18:01,-1.933,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,06:58:01,-1.996,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,07:38:01,-1.933,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,08:18:01,-1.745,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,08:58:01,-1.494,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,09:38:01,-1.117,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,10:18:01,-1.431,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,10:58:01,-0.615,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,11:38:01,-0.489,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,12:18:01,-0.301,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,12:58:01,0.201,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,13:38:01,0.264,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,14:18:01,0.389,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,14:58:01,0.201,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,15:38:01,-0.05,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,16:18:01,-0.238,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,16:58:01,-0.74,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,17:38:01,-0.552,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,18:18:01,-0.427,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,18:58:01,-1.054,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,19:38:01,-0.364,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,20:18:01,-0.301,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,20:58:01,-0.615,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,21:38:01,0.327,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,22:18:01,0.201,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,22:58:01,-0.05,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
29/11/2019,23:38:01,0.013,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,00:18:01,0.389,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,00:58:01,0.201,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,01:38:01,-0.678,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,02:18:01,-1.808,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,02:58:01,-1.117,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,03:38:01,-0.929,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,04:18:01,-0.489,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,04:58:01,-2.059,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,05:38:01,-1.808,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,06:18:01,-2.184,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,06:58:01,-1.243,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,07:38:01,-2.122,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,08:18:01,-2.184,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,08:58:01,-2.373,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,09:38:01,-2.059,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,10:18:01,-1.431,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,10:58:01,-1.305,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,11:38:01,-0.992,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,12:18:01,-1.117,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,12:58:01,-1.243,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,13:38:01,-1.557,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,14:18:01,-1.305,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,14:58:01,-1.619,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,15:38:01,-1.808,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,16:18:01,-1.745,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,16:58:01,-1.808,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,17:38:01,-1.871,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,18:18:01,-2.373,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
30/11/2019,18:58:01,-2.436,48,Rouge,43.82006,79.12723,18.825,East,Rouge5E,Third
